formula_discharge,framework,substitution,n_template_support
Na5(Ni9O22)4,Na5O88,Ni->slot36.0,1
Na5Cr36O88,Na5O88,Cr->slot36.0,1
Na5(Cu9O22)4,Na5O88,Cu->slot36.0,1
Na5(Co9O22)4,Na5O88,Co->slot36.0,1
Na5Ti36O88,Na5O88,Ti->slot36.0,1
Na5Mn18(Fe9O44)2,Na5O88,Fe/Mn mix slot36.0,1
Na5Fe18(Ni9O44)2,Na5O88,Fe/Ni mix slot36.0,1
Na5Mn18(Ni9O44)2,Na5O88,Mn/Ni mix slot36.0,1
Na5Co18(Ni9O44)2,Na5O88,Ni/Co mix slot36.0,1
Na5Fe18(Co9O44)2,Na5O88,Fe/Co mix slot36.0,1
Na9V21O40,Na9O40,V->slot21.0,1
Na9Fe21O40,Na9O40,Fe->slot21.0,1
Na9Ni21O40,Na9O40,Ni->slot21.0,1
Na9Cr21O40,Na9O40,Cr->slot21.0,1
Na9Cu21O40,Na9O40,Cu->slot21.0,1
Na9Co21O40,Na9O40,Co->slot21.0,1
Na9Ti21O40,Na9O40,Ti->slot21.0,1
Na9Mn(FeO2)20,Na9O40,Fe/Mn mix slot21.0,1
Na9Fe20NiO40,Na9O40,Fe/Ni mix slot21.0,1
Na9Mn20NiO40,Na9O40,Mn/Ni mix slot21.0,1
Na9Co(NiO2)20,Na9O40,Ni/Co mix slot21.0,1
Na9Fe20CoO40,Na9O40,Fe/Co mix slot21.0,1
Na(Mn3S4)2,Na1S8,Mn->slot6.0,1
Na(Fe3S4)2,Na1S8,Fe->slot6.0,1
Na(Ni3S4)2,Na1S8,Ni->slot6.0,1
Na(Cr3S4)2,Na1S8,Cr->slot6.0,1
Na(Cu3S4)2,Na1S8,Cu->slot6.0,1
Na(Co3S4)2,Na1S8,Co->slot6.0,1
Na(Ti3S4)2,Na1S8,Ti->slot6.0,1
NaMn3Fe3S8,Na1S8,Fe/Mn mix slot6.0,1
NaFe3Ni3S8,Na1S8,Fe/Ni mix slot6.0,1
NaMn3Ni3S8,Na1S8,Mn/Ni mix slot6.0,1
NaCo3Ni3S8,Na1S8,Ni/Co mix slot6.0,1
NaFe3Co3S8,Na1S8,Fe/Co mix slot6.0,1
Na5Mn12O24,Na5O24,Mn->slot12.0,1
Na5V12O24,Na5O24,V->slot12.0,1
Na5(FeO2)12,Na5O24,Fe->slot12.0,1
Na5(NiO2)12,Na5O24,Ni->slot12.0,1
Na5Cr12O24,Na5O24,Cr->slot12.0,1
Na5(CuO2)12,Na5O24,Cu->slot12.0,1
Na5(CoO2)12,Na5O24,Co->slot12.0,1
Na5Mn6(FeO4)6,Na5O24,Fe/Mn mix slot12.0,1
Na5Fe6(NiO4)6,Na5O24,Fe/Ni mix slot12.0,1
Na5Mn6(NiO4)6,Na5O24,Mn/Ni mix slot12.0,1
Na5Co6(NiO4)6,Na5O24,Ni/Co mix slot12.0,1
Na5Fe6(CoO4)6,Na5O24,Fe/Co mix slot12.0,1
NaNi3P3O13,Na1O13P3,Ni->slot3.0,4
NaCr3P3O13,Na1O13P3,Cr->slot3.0,4
NaCu3P3O13,Na1O13P3,Cu->slot3.0,4
NaCo3P3O13,Na1O13P3,Co->slot3.0,4
NaMnFe2P3O13,Na1O13P3,Fe/Mn mix slot3.0,4
NaFe2NiP3O13,Na1O13P3,Fe/Ni mix slot3.0,4
NaMn2NiP3O13,Na1O13P3,Mn/Ni mix slot3.0,4
NaCoNi2P3O13,Na1O13P3,Ni/Co mix slot3.0,4
NaFe2CoP3O13,Na1O13P3,Fe/Co mix slot3.0,4
NaFe2P2O9,Na1O9P2,Fe->slot2.0,3
NaCu2P2O9,Na1O9P2,Cu->slot2.0,3
NaCo2P2O9,Na1O9P2,Co->slot2.0,3
NaTi2P2O9,Na1O9P2,Ti->slot2.0,3
NaMnFeP2O9,Na1O9P2,Fe/Mn mix slot2.0,3
NaFeNiP2O9,Na1O9P2,Fe/Ni mix slot2.0,3
NaMnNiP2O9,Na1O9P2,Mn/Ni mix slot2.0,3
NaCoNiP2O9,Na1O9P2,Ni/Co mix slot2.0,3
NaFeCoP2O9,Na1O9P2,Fe/Co mix slot2.0,3
NaV6P7O24,Na1O24P7,V->slot6.0,1
NaFe6P7O24,Na1O24P7,Fe->slot6.0,1
NaNi6P7O24,Na1O24P7,Ni->slot6.0,1
NaCr6P7O24,Na1O24P7,Cr->slot6.0,1
NaCu6P7O24,Na1O24P7,Cu->slot6.0,1
NaCo6P7O24,Na1O24P7,Co->slot6.0,1
NaTi6P7O24,Na1O24P7,Ti->slot6.0,1
NaMn3Fe3P7O24,Na1O24P7,Fe/Mn mix slot6.0,1
NaFe3Ni3P7O24,Na1O24P7,Fe/Ni mix slot6.0,1
NaMn3Ni3P7O24,Na1O24P7,Mn/Ni mix slot6.0,1
NaCo3Ni3P7O24,Na1O24P7,Ni/Co mix slot6.0,1
NaFe3Co3P7O24,Na1O24P7,Fe/Co mix slot6.0,1
NaNiP2O7,Na1O7P2,Ni->slot1.0,8
NaCuP2O7,Na1O7P2,Cu->slot1.0,8
NaCoP2O7,Na1O7P2,Co->slot1.0,8
NaVAsO4,As1Na1O4,V->slot1.0,1
NaFeAsO4,As1Na1O4,Fe->slot1.0,1
NaNiAsO4,As1Na1O4,Ni->slot1.0,1
NaCrAsO4,As1Na1O4,Cr->slot1.0,1
NaCuAsO4,As1Na1O4,Cu->slot1.0,1
NaCoAsO4,As1Na1O4,Co->slot1.0,1
NaTiAsO4,As1Na1O4,Ti->slot1.0,1
NaVPO4,Na1O4P1,V->slot1.0,13
NaCrPO4,Na1O4P1,Cr->slot1.0,13
NaTiPO4,Na1O4P1,Ti->slot1.0,13
Na4Mn2(PO4)3,Na4O12P3,Mn->slot2.0,1
Na4V2(PO4)3,Na4O12P3,V->slot2.0,1
Na4Ni2(PO4)3,Na4O12P3,Ni->slot2.0,1
Na4Cr2(PO4)3,Na4O12P3,Cr->slot2.0,1
Na4Cu2(PO4)3,Na4O12P3,Cu->slot2.0,1
Na4Co2(PO4)3,Na4O12P3,Co->slot2.0,1
Na4Ti2(PO4)3,Na4O12P3,Ti->slot2.0,1
Na4MnFe(PO4)3,Na4O12P3,Fe/Mn mix slot2.0,1
Na4FeNi(PO4)3,Na4O12P3,Fe/Ni mix slot2.0,1
Na4MnNi(PO4)3,Na4O12P3,Mn/Ni mix slot2.0,1
Na4CoNi(PO4)3,Na4O12P3,Ni/Co mix slot2.0,1
Na4FeCo(PO4)3,Na4O12P3,Fe/Co mix slot2.0,1
NaMnPO5,Na1O5P1,Mn->slot1.0,3
NaFePO5,Na1O5P1,Fe->slot1.0,3
NaNiPO5,Na1O5P1,Ni->slot1.0,3
NaCrPO5,Na1O5P1,Cr->slot1.0,3
NaCuPO5,Na1O5P1,Cu->slot1.0,3
NaCoPO5,Na1O5P1,Co->slot1.0,3
NaTiPO5,Na1O5P1,Ti->slot1.0,3
NaSi2NiO6,Na1O6Si2,Ni->slot1.0,5
NaCu(SiO3)2,Na1O6Si2,Cu->slot1.0,5
NaCo(SiO3)2,Na1O6Si2,Co->slot1.0,5
Na4Mn7(PO4)6,Na4O24P6,Mn->slot7.0,1
Na4V7(PO4)6,Na4O24P6,V->slot7.0,1
Na4Fe7(PO4)6,Na4O24P6,Fe->slot7.0,1
Na4Cr7(PO4)6,Na4O24P6,Cr->slot7.0,1
Na4Cu7(PO4)6,Na4O24P6,Cu->slot7.0,1
Na4Co7(PO4)6,Na4O24P6,Co->slot7.0,1
Na4Ti7(PO4)6,Na4O24P6,Ti->slot7.0,1
Na4MnFe6(PO4)6,Na4O24P6,Fe/Mn mix slot7.0,1
Na4Fe6Ni(PO4)6,Na4O24P6,Fe/Ni mix slot7.0,1
Na4Mn6Ni(PO4)6,Na4O24P6,Mn/Ni mix slot7.0,1
Na4CoNi6(PO4)6,Na4O24P6,Ni/Co mix slot7.0,1
Na4Fe6Co(PO4)6,Na4O24P6,Fe/Co mix slot7.0,1
Na2Mn(PO4)2,Na2O8P2,Mn->slot1.0,1
Na2Fe(PO4)2,Na2O8P2,Fe->slot1.0,1
Na2Ni(PO4)2,Na2O8P2,Ni->slot1.0,1
Na2Cr(PO4)2,Na2O8P2,Cr->slot1.0,1
Na2Cu(PO4)2,Na2O8P2,Cu->slot1.0,1
Na2Co(PO4)2,Na2O8P2,Co->slot1.0,1
Na2Ti(PO4)2,Na2O8P2,Ti->slot1.0,1
NaMn4(PO4)3,Na1O12P3,Mn->slot4.0,1
NaV4(PO4)3,Na1O12P3,V->slot4.0,1
NaFe4(PO4)3,Na1O12P3,Fe->slot4.0,1
NaCr4(PO4)3,Na1O12P3,Cr->slot4.0,1
NaCu4(PO4)3,Na1O12P3,Cu->slot4.0,1
NaCo4(PO4)3,Na1O12P3,Co->slot4.0,1
NaTi4(PO4)3,Na1O12P3,Ti->slot4.0,1
NaMn2Fe2(PO4)3,Na1O12P3,Fe/Mn mix slot4.0,1
NaFe2Ni2(PO4)3,Na1O12P3,Fe/Ni mix slot4.0,1
NaMn2Ni2(PO4)3,Na1O12P3,Mn/Ni mix slot4.0,1
NaCo2Ni2(PO4)3,Na1O12P3,Ni/Co mix slot4.0,1
NaFe2Co2(PO4)3,Na1O12P3,Fe/Co mix slot4.0,1
Na2Mn5(Si2O7)2,Na2O14Si4,Mn->slot5.0,1
Na2V5(Si2O7)2,Na2O14Si4,V->slot5.0,1
Na2Fe5(Si2O7)2,Na2O14Si4,Fe->slot5.0,1
Na2Si4Ni5O14,Na2O14Si4,Ni->slot5.0,1
Na2Cr5(Si2O7)2,Na2O14Si4,Cr->slot5.0,1
Na2Co5(Si2O7)2,Na2O14Si4,Co->slot5.0,1
Na2Ti5(Si2O7)2,Na2O14Si4,Ti->slot5.0,1
Na2MnFe4(Si2O7)2,Na2O14Si4,Fe/Mn mix slot5.0,1
Na2Fe4Si4NiO14,Na2O14Si4,Fe/Ni mix slot5.0,1
Na2Mn4Si4NiO14,Na2O14Si4,Mn/Ni mix slot5.0,1
Na2CoSi4(Ni2O7)2,Na2O14Si4,Ni/Co mix slot5.0,1
Na2Fe4Co(Si2O7)2,Na2O14Si4,Fe/Co mix slot5.0,1
NaV(PO3)3,Na1O9P3,V->slot1.0,5
NaCr(PO3)3,Na1O9P3,Cr->slot1.0,5
NaCo(PO3)3,Na1O9P3,Co->slot1.0,5
NaTi(PO3)3,Na1O9P3,Ti->slot1.0,5
NaMn2P3O10,Na1O10P3,Mn->slot2.0,2
NaV2P3O10,Na1O10P3,V->slot2.0,2
NaFe2P3O10,Na1O10P3,Fe->slot2.0,2
NaCr2P3O10,Na1O10P3,Cr->slot2.0,2
NaCu2P3O10,Na1O10P3,Cu->slot2.0,2
NaTi2P3O10,Na1O10P3,Ti->slot2.0,2
NaMnFeP3O10,Na1O10P3,Fe/Mn mix slot2.0,2
NaFeNiP3O10,Na1O10P3,Fe/Ni mix slot2.0,2
NaMnNiP3O10,Na1O10P3,Mn/Ni mix slot2.0,2
NaCoNiP3O10,Na1O10P3,Ni/Co mix slot2.0,2
NaFeCoP3O10,Na1O10P3,Fe/Co mix slot2.0,2
Na2Mn3(P2O7)2,Na2O14P4,Mn->slot3.0,1
Na2V3(P2O7)2,Na2O14P4,V->slot3.0,1
Na2Fe3(P2O7)2,Na2O14P4,Fe->slot3.0,1
Na2Cr3(P2O7)2,Na2O14P4,Cr->slot3.0,1
Na2Cu3(P2O7)2,Na2O14P4,Cu->slot3.0,1
Na2Co3(P2O7)2,Na2O14P4,Co->slot3.0,1
Na2Ti3(P2O7)2,Na2O14P4,Ti->slot3.0,1
Na2MnFe2(P2O7)2,Na2O14P4,Fe/Mn mix slot3.0,1
Na2Fe2Ni(P2O7)2,Na2O14P4,Fe/Ni mix slot3.0,1
Na2Mn2Ni(P2O7)2,Na2O14P4,Mn/Ni mix slot3.0,1
Na2CoNi2(P2O7)2,Na2O14P4,Ni/Co mix slot3.0,1
Na2Fe2Co(P2O7)2,Na2O14P4,Fe/Co mix slot3.0,1
Na3Mn2(PO4)3,Na3O12P3,Mn->slot2.0,5
Na3Ni2(PO4)3,Na3O12P3,Ni->slot2.0,5
Na3Cu2(PO4)3,Na3O12P3,Cu->slot2.0,5
Na3Co2(PO4)3,Na3O12P3,Co->slot2.0,5
Na3MnFe(PO4)3,Na3O12P3,Fe/Mn mix slot2.0,5
Na3FeNi(PO4)3,Na3O12P3,Fe/Ni mix slot2.0,5
Na3MnNi(PO4)3,Na3O12P3,Mn/Ni mix slot2.0,5
Na3CoNi(PO4)3,Na3O12P3,Ni/Co mix slot2.0,5
Na3FeCo(PO4)3,Na3O12P3,Fe/Co mix slot2.0,5
Na6Mn9(PO4)8,Na6O32P8,Mn->slot9.0,1
Na6V9(PO4)8,Na6O32P8,V->slot9.0,1
Na6Fe9(PO4)8,Na6O32P8,Fe->slot9.0,1
Na6Ni9(PO4)8,Na6O32P8,Ni->slot9.0,1
Na6Cr9(PO4)8,Na6O32P8,Cr->slot9.0,1
Na6Co9(PO4)8,Na6O32P8,Co->slot9.0,1
Na6Ti9(PO4)8,Na6O32P8,Ti->slot9.0,1
Na6MnFe8(PO4)8,Na6O32P8,Fe/Mn mix slot9.0,1
Na6Fe8Ni(PO4)8,Na6O32P8,Fe/Ni mix slot9.0,1
Na6Mn8Ni(PO4)8,Na6O32P8,Mn/Ni mix slot9.0,1
Na6CoNi8(PO4)8,Na6O32P8,Ni/Co mix slot9.0,1
Na6Fe8Co(PO4)8,Na6O32P8,Fe/Co mix slot9.0,1
Na4Mn5(P3O11)2,Na4O22P6,Mn->slot5.0,1
Na4V5(P3O11)2,Na4O22P6,V->slot5.0,1
Na4Fe5(P3O11)2,Na4O22P6,Fe->slot5.0,1
Na4Cr5(P3O11)2,Na4O22P6,Cr->slot5.0,1
Na4Cu5(P3O11)2,Na4O22P6,Cu->slot5.0,1
Na4Co5(P3O11)2,Na4O22P6,Co->slot5.0,1
Na4Ti5(P3O11)2,Na4O22P6,Ti->slot5.0,1
Na4MnFe4(P3O11)2,Na4O22P6,Fe/Mn mix slot5.0,1
Na4Fe4Ni(P3O11)2,Na4O22P6,Fe/Ni mix slot5.0,1
Na4Mn4Ni(P3O11)2,Na4O22P6,Mn/Ni mix slot5.0,1
Na4CoNi4(P3O11)2,Na4O22P6,Ni/Co mix slot5.0,1
Na4Fe4Co(P3O11)2,Na4O22P6,Fe/Co mix slot5.0,1
Na7Mn4(PO4)6,Na7O24P6,Mn->slot4.0,1
Na7V4(PO4)6,Na7O24P6,V->slot4.0,1
Na7Fe4(PO4)6,Na7O24P6,Fe->slot4.0,1
Na7Ni4(PO4)6,Na7O24P6,Ni->slot4.0,1
Na7Cu4(PO4)6,Na7O24P6,Cu->slot4.0,1
Na7Co4(PO4)6,Na7O24P6,Co->slot4.0,1
Na7Ti4(PO4)6,Na7O24P6,Ti->slot4.0,1
Na7Mn2Fe2(PO4)6,Na7O24P6,Fe/Mn mix slot4.0,1
Na7Fe2Ni2(PO4)6,Na7O24P6,Fe/Ni mix slot4.0,1
Na7Mn2Ni2(PO4)6,Na7O24P6,Mn/Ni mix slot4.0,1
Na7Co2Ni2(PO4)6,Na7O24P6,Ni/Co mix slot4.0,1
Na7Fe2Co2(PO4)6,Na7O24P6,Fe/Co mix slot4.0,1
Na2VP2O7,Na2O7P2,V->slot1.0,4
Na2FeP2O7,Na2O7P2,Fe->slot1.0,4
Na2NiP2O7,Na2O7P2,Ni->slot1.0,4
Na2CrP2O7,Na2O7P2,Cr->slot1.0,4
Na2TiP2O7,Na2O7P2,Ti->slot1.0,4
Na7Mn4P9O32,Na7O32P9,Mn->slot4.0,2
Na7V4P9O32,Na7O32P9,V->slot4.0,2
Na7Ni4P9O32,Na7O32P9,Ni->slot4.0,2
Na7Cu4P9O32,Na7O32P9,Cu->slot4.0,2
Na7Co4P9O32,Na7O32P9,Co->slot4.0,2
Na7Ti4P9O32,Na7O32P9,Ti->slot4.0,2
Na7Mn2Fe2P9O32,Na7O32P9,Fe/Mn mix slot4.0,2
Na7Fe2Ni2P9O32,Na7O32P9,Fe/Ni mix slot4.0,2
Na7Mn2Ni2P9O32,Na7O32P9,Mn/Ni mix slot4.0,2
Na7Co2Ni2P9O32,Na7O32P9,Ni/Co mix slot4.0,2
Na7Fe2Co2P9O32,Na7O32P9,Fe/Co mix slot4.0,2
Na3Mn3(PO4)4,Na3O16P4,Mn->slot3.0,1
Na3V3(PO4)4,Na3O16P4,V->slot3.0,1
Na3Ni3(PO4)4,Na3O16P4,Ni->slot3.0,1
Na3Cr3(PO4)4,Na3O16P4,Cr->slot3.0,1
Na3Cu3(PO4)4,Na3O16P4,Cu->slot3.0,1
Na3Co3(PO4)4,Na3O16P4,Co->slot3.0,1
Na3Ti3(PO4)4,Na3O16P4,Ti->slot3.0,1
Na3MnFe2(PO4)4,Na3O16P4,Fe/Mn mix slot3.0,1
Na3Fe2Ni(PO4)4,Na3O16P4,Fe/Ni mix slot3.0,1
Na3Mn2Ni(PO4)4,Na3O16P4,Mn/Ni mix slot3.0,1
Na3CoNi2(PO4)4,Na3O16P4,Ni/Co mix slot3.0,1
Na3Fe2Co(PO4)4,Na3O16P4,Fe/Co mix slot3.0,1
NaMn7(PO4)6,Na1O24P6,Mn->slot7.0,1
NaV7(PO4)6,Na1O24P6,V->slot7.0,1
NaNi7(PO4)6,Na1O24P6,Ni->slot7.0,1
NaCr7(PO4)6,Na1O24P6,Cr->slot7.0,1
NaCu7(PO4)6,Na1O24P6,Cu->slot7.0,1
NaCo7(PO4)6,Na1O24P6,Co->slot7.0,1
NaTi7(PO4)6,Na1O24P6,Ti->slot7.0,1
NaMnFe6(PO4)6,Na1O24P6,Fe/Mn mix slot7.0,1
NaFe6Ni(PO4)6,Na1O24P6,Fe/Ni mix slot7.0,1
NaMn6Ni(PO4)6,Na1O24P6,Mn/Ni mix slot7.0,1
NaCoNi6(PO4)6,Na1O24P6,Ni/Co mix slot7.0,1
NaFe6Co(PO4)6,Na1O24P6,Fe/Co mix slot7.0,1
Na2V(PO3)5,Na2O15P5,V->slot1.0,1
Na2Fe(PO3)5,Na2O15P5,Fe->slot1.0,1
Na2Ni(PO3)5,Na2O15P5,Ni->slot1.0,1
Na2Cr(PO3)5,Na2O15P5,Cr->slot1.0,1
Na2Cu(PO3)5,Na2O15P5,Cu->slot1.0,1
Na2Co(PO3)5,Na2O15P5,Co->slot1.0,1
Na2Ti(PO3)5,Na2O15P5,Ti->slot1.0,1
Na2V3(PO4)3,Na2O12P3,V->slot3.0,2
Na2Ni3(PO4)3,Na2O12P3,Ni->slot3.0,2
Na2Cr3(PO4)3,Na2O12P3,Cr->slot3.0,2
Na2Cu3(PO4)3,Na2O12P3,Cu->slot3.0,2
Na2Co3(PO4)3,Na2O12P3,Co->slot3.0,2
Na2Ti3(PO4)3,Na2O12P3,Ti->slot3.0,2
Na2MnFe2(PO4)3,Na2O12P3,Fe/Mn mix slot3.0,2
Na2Fe2Ni(PO4)3,Na2O12P3,Fe/Ni mix slot3.0,2
Na2Mn2Ni(PO4)3,Na2O12P3,Mn/Ni mix slot3.0,2
Na2CoNi2(PO4)3,Na2O12P3,Ni/Co mix slot3.0,2
Na2Fe2Co(PO4)3,Na2O12P3,Fe/Co mix slot3.0,2
Na2Mn(PO3)4,Na2O12P4,Mn->slot1.0,1
Na2V(PO3)4,Na2O12P4,V->slot1.0,1
Na2Fe(PO3)4,Na2O12P4,Fe->slot1.0,1
Na2Ni(PO3)4,Na2O12P4,Ni->slot1.0,1
Na2Cr(PO3)4,Na2O12P4,Cr->slot1.0,1
Na2Co(PO3)4,Na2O12P4,Co->slot1.0,1
Na2Ti(PO3)4,Na2O12P4,Ti->slot1.0,1
Na2Mn3P2O13,Na2O13P2,Mn->slot3.0,1
Na2Fe3P2O13,Na2O13P2,Fe->slot3.0,1
Na2Ni3P2O13,Na2O13P2,Ni->slot3.0,1
Na2Cr3P2O13,Na2O13P2,Cr->slot3.0,1
Na2Cu3P2O13,Na2O13P2,Cu->slot3.0,1
Na2Co3P2O13,Na2O13P2,Co->slot3.0,1
Na2Ti3P2O13,Na2O13P2,Ti->slot3.0,1
Na2MnFe2P2O13,Na2O13P2,Fe/Mn mix slot3.0,1
Na2Fe2NiP2O13,Na2O13P2,Fe/Ni mix slot3.0,1
Na2Mn2NiP2O13,Na2O13P2,Mn/Ni mix slot3.0,1
Na2CoNi2P2O13,Na2O13P2,Ni/Co mix slot3.0,1
Na2Fe2CoP2O13,Na2O13P2,Fe/Co mix slot3.0,1
Na3Mn2(PS4)3,Na3P3S12,Mn->slot2.0,1
Na3V2(PS4)3,Na3P3S12,V->slot2.0,1
Na3Fe2(PS4)3,Na3P3S12,Fe->slot2.0,1
Na3Ni2(PS4)3,Na3P3S12,Ni->slot2.0,1
Na3Cu2(PS4)3,Na3P3S12,Cu->slot2.0,1
Na3Co2(PS4)3,Na3P3S12,Co->slot2.0,1
Na3Ti2(PS4)3,Na3P3S12,Ti->slot2.0,1
Na3MnFe(PS4)3,Na3P3S12,Fe/Mn mix slot2.0,1
Na3FeNi(PS4)3,Na3P3S12,Fe/Ni mix slot2.0,1
Na3MnNi(PS4)3,Na3P3S12,Mn/Ni mix slot2.0,1
Na3CoNi(PS4)3,Na3P3S12,Ni/Co mix slot2.0,1
Na3FeCo(PS4)3,Na3P3S12,Fe/Co mix slot2.0,1
Na4Mn3P4O15,Na4O15P4,Mn->slot3.0,2
Na4V3P4O15,Na4O15P4,V->slot3.0,2
Na4Cr3P4O15,Na4O15P4,Cr->slot3.0,2
Na4Cu3P4O15,Na4O15P4,Cu->slot3.0,2
Na4Ti3P4O15,Na4O15P4,Ti->slot3.0,2
Na4MnFe2P4O15,Na4O15P4,Fe/Mn mix slot3.0,2
Na4Fe2NiP4O15,Na4O15P4,Fe/Ni mix slot3.0,2
Na4Mn2NiP4O15,Na4O15P4,Mn/Ni mix slot3.0,2
Na4CoNi2P4O15,Na4O15P4,Ni/Co mix slot3.0,2
Na4Fe2CoP4O15,Na4O15P4,Fe/Co mix slot3.0,2
Na6V3(PO4)4,Na6O16P4,V->slot3.0,1
Na6Fe3(PO4)4,Na6O16P4,Fe->slot3.0,1
Na6Ni3(PO4)4,Na6O16P4,Ni->slot3.0,1
Na6Cr3(PO4)4,Na6O16P4,Cr->slot3.0,1
Na6Cu3(PO4)4,Na6O16P4,Cu->slot3.0,1
Na6Co3(PO4)4,Na6O16P4,Co->slot3.0,1
Na6Ti3(PO4)4,Na6O16P4,Ti->slot3.0,1
Na6MnFe2(PO4)4,Na6O16P4,Fe/Mn mix slot3.0,1
Na6Fe2Ni(PO4)4,Na6O16P4,Fe/Ni mix slot3.0,1
Na6Mn2Ni(PO4)4,Na6O16P4,Mn/Ni mix slot3.0,1
Na6CoNi2(PO4)4,Na6O16P4,Ni/Co mix slot3.0,1
Na6Fe2Co(PO4)4,Na6O16P4,Fe/Co mix slot3.0,1
Na8Mn7(PO4)8,Na8O32P8,Mn->slot7.0,1
Na8V7(PO4)8,Na8O32P8,V->slot7.0,1
Na8Ni7(PO4)8,Na8O32P8,Ni->slot7.0,1
Na8Cr7(PO4)8,Na8O32P8,Cr->slot7.0,1
Na8Cu7(PO4)8,Na8O32P8,Cu->slot7.0,1
Na8Co7(PO4)8,Na8O32P8,Co->slot7.0,1
Na8Ti7(PO4)8,Na8O32P8,Ti->slot7.0,1
Na8MnFe6(PO4)8,Na8O32P8,Fe/Mn mix slot7.0,1
Na8Fe6Ni(PO4)8,Na8O32P8,Fe/Ni mix slot7.0,1
Na8Mn6Ni(PO4)8,Na8O32P8,Mn/Ni mix slot7.0,1
Na8CoNi6(PO4)8,Na8O32P8,Ni/Co mix slot7.0,1
Na8Fe6Co(PO4)8,Na8O32P8,Fe/Co mix slot7.0,1
Na11Mn8(PO4)12,Na11O48P12,Mn->slot8.0,1
Na11V8(PO4)12,Na11O48P12,V->slot8.0,1
Na11Fe8(PO4)12,Na11O48P12,Fe->slot8.0,1
Na11Ni8(PO4)12,Na11O48P12,Ni->slot8.0,1
Na11Cr8(PO4)12,Na11O48P12,Cr->slot8.0,1
Na11Cu8(PO4)12,Na11O48P12,Cu->slot8.0,1
Na11Co8(PO4)12,Na11O48P12,Co->slot8.0,1
Na11Mn4Fe4(PO4)12,Na11O48P12,Fe/Mn mix slot8.0,1
Na11Fe4Ni4(PO4)12,Na11O48P12,Fe/Ni mix slot8.0,1
Na11Mn4Ni4(PO4)12,Na11O48P12,Mn/Ni mix slot8.0,1
Na11Co4Ni4(PO4)12,Na11O48P12,Ni/Co mix slot8.0,1
Na11Fe4Co4(PO4)12,Na11O48P12,Fe/Co mix slot8.0,1
Na2VPO4F,F1Na2O4P1,V->slot1.0,1
Na2FePO4F,F1Na2O4P1,Fe->slot1.0,1
Na2NiPO4F,F1Na2O4P1,Ni->slot1.0,1
Na2CrPO4F,F1Na2O4P1,Cr->slot1.0,1
Na2CuPO4F,F1Na2O4P1,Cu->slot1.0,1
Na2CoPO4F,F1Na2O4P1,Co->slot1.0,1
Na2TiPO4F,F1Na2O4P1,Ti->slot1.0,1
Na3NiBAsO7,As1B1Na3O7,Ni->slot1.0,4
Na3CrBAsO7,As1B1Na3O7,Cr->slot1.0,4
Na3CuBAsO7,As1B1Na3O7,Cu->slot1.0,4
Na3TiBAsO7,As1B1Na3O7,Ti->slot1.0,4
Na3NiBPO7,B1Na3O7P1,Ni->slot1.0,3
Na3CrBPO7,B1Na3O7P1,Cr->slot1.0,3
Na3CuBPO7,B1Na3O7P1,Cu->slot1.0,3
Na3CoBPO7,B1Na3O7P1,Co->slot1.0,3
Na3TiBPO7,B1Na3O7P1,Ti->slot1.0,3
Na3VBSO7,B1Na3O7S1,V->slot1.0,2
Na3FeBSO7,B1Na3O7S1,Fe->slot1.0,2
Na3NiBSO7,B1Na3O7S1,Ni->slot1.0,2
Na3CrBSO7,B1Na3O7S1,Cr->slot1.0,2
Na3CoBSO7,B1Na3O7S1,Co->slot1.0,2
Na3TiBSO7,B1Na3O7S1,Ti->slot1.0,2
