formula_discharge,framework,composite_score,pred_delta_volume,pred_voltage,V_discharged_init,V_charged_init,e_per_atom_discharged,V_discharged_relaxed,V_charged_relaxed,mlip_delta_volume,relax_steps_dis,relax_steps_cha,vol_drift_dis,status
Na8Co7(PO4)8,Na8O32P8,3.4824995228683284,0.0542448250007635,4.321976737499404,663.9512919888795,663.9512919888795,-7.057662686434659,660.1384824938922,617.2031148649982,0.06503994050868149,35,83,0.005742604225629157,ok
Na2CoNi2(P2O7)2,Na2O14P4,3.245549141999878,0.0395286005295952,4.769686368991119,539.1375466496794,539.1375466496794,-7.2025146484375,539.9408343314575,531.3441762501006,0.015921481641596968,7,27,0.0014899494327002634,ok
Na2Co3(P2O7)2,Na2O14P4,3.1913769978645443,0.0266838188619807,4.796920418220863,539.1375466496794,539.1375466496794,-7.333058896272079,548.3838358737611,530.7337093550931,0.03218571621562363,16,20,0.017150148939802448,ok
NaFeCoP2O9,Na1O9P2,3.079516580345218,0.0216407863869353,4.988966899533319,687.3819312486712,687.3819312486712,-7.293430328369141,688.6706520023272,687.7147748600155,0.001388003306852783,23,22,0.001874824890021389,ok
NaMnNiP2O9,Na1O9P2,2.9845146802206197,0.0361102273414917,4.915913255557131,687.3819312486712,687.3819312486712,-7.279777526855469,685.3967041539225,674.4631066427861,0.015952217810316513,24,57,0.002888099038539433,ok
Na7V4(PO4)6,Na7O24P6,2.9679921744545066,0.0986360108764957,3.239374091050294,1027.8200241675152,1027.8200241675152,-7.4277589379287345,1033.6092993048314,893.7704064125845,0.13529182930755126,37,99,0.005632576716926016,ok
Na4CoNi2P4O15,Na4O15P4,2.9228868819929703,0.0557446283828503,4.612618977671628,1258.4588184054667,1258.4588184054667,-6.967891986553486,1258.6929454769513,1251.6722955599087,0.0055777304085726336,6,32,0.00018604269608225022,ok
NaCo2P2O9,Na1O9P2,2.9055509826004977,0.0225014301119381,4.91614473784608,687.3819312486712,687.3819312486712,-7.091929844447544,686.9067213435783,675.6188203843114,0.016432945854988702,18,29,0.000691333134447798,ok
Na2Fe2Ni(P2O7)2,Na2O14P4,2.897466405556849,0.0267639760390376,4.872414672455943,539.1375466496794,539.1375466496794,-7.458154429560122,556.7865564810305,533.0824646539642,0.04257303189372881,64,43,0.032735634794916424,ok
Na3Fe2Ni(PO4)4,Na3O16P4,2.879347089713538,0.0287383253660703,4.925749122025468,688.7708334668374,688.7708334668374,-7.249389061560998,688.1337941554933,689.2283711719633,0.001590645635727437,15,35,0.0009248929838356297,ok
Na8CoNi6(PO4)8,Na8O32P8,2.867230935718601,0.0738558633479384,4.400189432315484,663.9512919888795,663.9512919888795,-6.8705832741477275,656.8545111327547,631.5247154082429,0.03856226195482817,38,55,0.010688707050883468,ok
NaNiP2O7,Na1O7P2,2.840441070901816,0.0395452128167927,5.210698869017807,526.2723375949221,526.2723375949221,-7.043630426580256,527.182495459092,526.6837293032762,0.0009460977177959395,13,17,0.001729442722240334,ok
NaFePO5,Na1O5P1,2.821062603764358,0.0594940711005754,4.6422056650630745,425.5762883349716,425.5762883349716,-7.067249298095703,425.9905923807584,420.07393763098736,0.013889167637961915,11,16,0.0009735129920131307,ok
Na3Co2(PO4)3,Na3O12P3,2.8144391669729765,0.0498364774533387,4.625311152064546,497.3969666387528,497.3969666387528,-6.9778892517089846,495.1113110794713,481.8109121639021,0.026863451950978185,11,28,0.004595234214489137,ok
Na7Co4P9O32,Na7O32P9,2.793733234266867,0.045359764093778,4.941171279747392,1323.543676744131,1323.543676744131,-7.078498253455529,1323.1334867121152,1317.9879083547637,0.0038889336631769953,10,33,0.00030991801723152383,ok
Na8Cu7(PO4)8,Na8O32P8,2.7862013253469424,0.0784582006387278,4.196680934759144,663.9512919888795,663.9512919888795,-6.524354137073864,657.0336258674503,621.7036341125576,0.05377196898902732,31,65,0.010418936155251968,ok
NaCuP2O7,Na1O7P2,2.770613320032741,0.0408209134841755,5.033997937076112,526.2723375949221,526.2723375949221,-6.8191375732421875,526.1489324084554,521.7475492721269,0.008365279990555311,8,25,0.00023448921338078095,ok
Na7Fe2Co2(PO4)6,Na7O24P6,2.7704993995241542,0.0587583685380286,4.218313500162529,1027.8200241675152,1027.8200241675152,-7.0523316918349845,1027.1272698535306,959.9635830442804,0.06538983900099136,33,96,0.000674003519775409,ok
NaFeCoP3O10,Na1O10P3,2.758811174823327,0.0218430141941055,4.765458505292453,358.6969211782765,358.6969211782765,-7.559726238250732,368.3276854392864,357.362018008115,0.029771499305280866,24,33,0.026849308406032606,ok
Na3CoNi(PO4)3,Na3O12P3,2.752237531938256,0.0555704825950296,4.721012052179423,497.3969666387528,497.3969666387528,-6.877835083007812,496.83345118500796,493.37549902782837,0.006959982563436411,12,31,0.0011329290115155107,ok
Na7Cu4P9O32,Na7O32P9,2.752196057770804,0.0398927952228336,4.937075064741324,1323.543676744131,1323.543676744131,-6.7319159874549275,1322.6749276904554,1285.1355928075218,0.028381376328408748,12,89,0.0006563810994229669,ok
Na3CoNi2(PO4)4,Na3O16P4,2.7437825819533765,0.0391675558821228,4.986519974564031,688.7708334668374,688.7708334668374,-6.949901874248798,678.7835538547712,687.3708723177962,0.012651040842486706,30,28,0.014500148854730931,ok
Na4Fe2CoP4O15,Na4O15P4,2.7364900945555943,0.0596641165874595,4.110520174880831,1258.4588184054667,1258.4588184054667,-7.242064255934495,1273.721818221702,1241.3158594338588,0.025441943699360196,57,105,0.012128326801805402,ok
Na7Ni4P9O32,Na7O32P9,2.7235728972284,0.0469591272400523,5.061164641557995,1323.543676744131,1323.543676744131,-6.92122298020583,1323.5687508376955,1322.7120326772233,0.0006472789267122942,9,21,1.89446665077803e-05,ok
Na3Co3(PO4)4,Na3O16P4,2.7077120896058613,0.0295883301580323,4.9577762477569385,688.7708334668374,688.7708334668374,-7.104058485764724,681.8613777770704,685.6630708698851,0.005575463307818654,15,23,0.010031574152159111,ok
Na7Mn2Fe2(PO4)6,Na7O24P6,2.6992887107691166,0.071506936540398,3.8515626359450583,1027.8200241675152,1027.8200241675152,-7.244633372237042,1034.1317898569298,921.562298642807,0.10885410575154696,39,138,0.00614092500730064,ok
NaCoPO5,Na1O5P1,2.697823962788052,0.0469188980472806,4.836218819576397,425.5762883349716,425.5762883349716,-6.792863845825195,425.2748952876704,407.3111552315403,0.04224030210854284,6,41,0.0007081998117901785,ok
Na11Co8(PO4)12,Na11O48P12,2.6921278603281875,0.0439227714291446,4.790932838349166,1016.941660252615,1016.941660252615,-6.980780879153481,1006.3253999658319,944.257126190895,0.061678134902531934,44,69,0.010439399526759352,ok
Na11Co4Ni4(PO4)12,Na11O48P12,2.682334437317544,0.0517566071472319,4.819798196685802,1016.941660252615,1016.941660252615,-6.876972439922864,1013.1347583291916,960.6395495279857,0.05181463607840118,29,98,0.0037434811378242207,ok
NaFe2P3O10,Na1O10P3,2.638466620670518,0.0250060465836555,4.849456993626508,358.6969211782765,358.6969211782765,-7.691793918609619,377.6393692650084,358.42147077378235,0.05088955245484451,40,26,0.05280906238199144,ok
