battery_id,formula_charge,formula_discharge,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_voltage_step,stability_charge,stability_discharge,fracA_charge,fracA_discharge,max_delta_volume,num_steps
mp-102_Na,Co,Na3Co,-0.876626576781609,628.6385461641345,1355.5764220909682,-551.081256756833,-1188.3343184634675,0.0,0.016113994999999,0.661498431336206,0.0,0.75,8.02501257791034,1
mp-1055940_Na,Cs,CsNa3,-0.097482890114942,398.28873871922747,630.3862190003856,-38.82633735058558,-61.4518705167888,0.0,0.037365932068965005,0.082453650603448,0.0,0.75,0.826456110470957,1
mp-10683_Na,Ca,Na3Ca,0.014938906551724002,737.3354283451486,869.644431426826,11.014985061323747,12.991536894312723,0.0,0.399613499999999,0.08869919508620601,0.0,0.75,2.514750244182134,1
mp-1096861_Na,Cd,Na3Cd,0.04440609655172301,443.29202212523757,1095.8197178439339,19.684868335102223,48.66107619386056,0.0,0.0,0.004911455,0.0,0.75,4.239338623655955,1
mp-11051_Na,NaSn,Na2Sn,-0.225486594698275,162.73942704381022,471.81884490806476,-36.69555922725719,-106.38882465279325,0.0,0.0,0.11547658236111101,0.5,0.6666666666666661,0.560211439325037,1
mp-11180_Na,NaC2,NaC,3.250765886551722,382.87316851318354,615.0145561900135,1244.631035078626,1999.2683389952433,0.0,1.392371879482758,0.23158743797413803,0.33333333333333304,0.5,0.379247270287415,1
mp-124_Na,Ag,Na3Ag,-0.008958720114942,454.67980417842375,1215.8776300808904,-4.073349107551401,-10.892707381914395,0.0,0.0036091633333330004,0.045181525280172004,0.0,0.75,5.0988459020016,1
mp-23_Na,Ni,Na3Ni,-0.555671876781609,629.8193481597051,1381.22927720939,-349.972899225273,-767.5102647326471,0.0,0.0,0.416753907586206,0.0,0.75,7.973517144848824,1
mp-28_Na,Ce,Na3Ce,-0.619197831781609,384.55329198749916,867.4477003909979,-238.11456460313963,-537.121735266049,0.0,0.0,0.464398373836206,0.0,0.75,4.8994292004514834,1
mp-45_Na,Ca,Na3Ca,-0.113746073448275,737.3354283451486,878.8241665326253,-83.86900978856318,-99.96279819453977,0.0,0.0,0.08530955508620601,0.0,0.75,2.637930387084447,1
mp-568345_Na,Fe,Na3Fe,-0.661557793448275,644.1925194919359,1214.9419279921021,-426.17058175097054,-803.7543010502492,0.0,0.76141216,0.6865213850862061,0.0,0.75,7.196324164616001,1
mp-623511_Na,Sn,Na3Sn,0.191626119885057,428.41400238239333,1182.701763026717,82.09531298096573,226.63654983002627,0.0,0.054256834999999004,0.036712697,0.0,0.75,3.049267242580307,1
mp-80_Na,Sb,Na3Sb,0.731773513218391,421.56312706562005,1115.941645325364,308.4887305361398,816.6165383464535,0.0,0.290331829999999,0.0,0.0,0.75,3.3650897992717113,1
mp-8642_Na,Re,Na3Re,-1.714772376781609,315.0936860741267,1287.677942454661,-540.3139489782085,-2208.0745659122313,0.0,0.06275675500000001,1.301768471336206,0.0,0.75,5.859284760544032,1
mp-977200_Na,Na2C,Na3C,-0.43667685344827506,330.96417079037775,601.2373061481788,-144.52439270485988,-262.54641502450437,0.0,1.273791083132183,1.064512525711206,0.6666666666666661,0.75,0.22595722048261102,1
mp-1001833_Na,InBi,Na2InBi,-1.8079083834482752,144.95987104982518,58.99709601385749,-262.07416613455996,-106.6613444825558,0.0,0.025940062499999,1.179775381527777,0.0,0.5,17.704724733390176,1
mp-1008483_Na,CdN,NaCdN,1.321085651551725,179.38514904590247,809.7604627982755,236.9831465060095,1069.7629285966868,0.0,0.9604628525000001,0.28068387583333304,0.0,0.33333333333333304,0.9313341135902191,1
mp-1009747_Na,ScSn,NaScSn,0.7297572165517231,143.5878134625825,517.3677921853025,104.78424308320231,377.55287995865694,0.0,1.036799461964285,0.48644050426984103,0.0,0.33333333333333304,0.150262192374178,1
mp-1014373_Na,CrN2,NaCrN2,1.963945621551726,260.2104008379416,818.8312590421721,511.03907740789515,1608.1400659855615,0.0,0.34941860500000005,0.0,0.0,0.25,0.167853665227991,1
mp-10224_Na,VS2,NaVS2,1.5173732365517272,194.12744272985213,610.3613312704434,294.56378607850576,926.1459486958536,0.0,0.018495836666667,0.016687762499999002,0.0,0.25,0.28381710394256204,1
mp-10225_Na,VS2,NaVS2,1.4538122665517221,194.12744272985213,604.1470497701976,282.224857514976,878.3163917569472,0.0,0.018088773333333003,0.032272707499999005,0.0,0.25,0.118400517729981,1
mp-1041961_Na,CrO2,NaCr2O4,3.8760708490517253,140.33690224774546,515.9140235114229,543.9557758487077,1999.7193071496126,0.0,0.17562250499998303,0.062053670476186006,0.0,0.14285714285714202,0.06835041383844301,1
mp-1062939_Na,CoO2,NaCoO2,2.662275291551726,235.26216710874036,1030.2267597001485,626.3326545305126,2742.747247045103,0.0,0.006608808333334001,0.09736583500000501,0.0,0.25,0.114361442571003,1
mp-1063314_Na,Ca2Rh,NaCa2Rh,-0.24868994344827602,130.07190510893557,449.3551193493026,-32.347574725750746,-111.75009921917153,0.0,0.036099388611110006,0.089247027320402,0.0,0.25,0.17398024263397602,1
mp-1072712_Na,NbS2,Na2(NbS2)3,2.107033556551725,103.66299730251782,408.0489406469211,218.421413889136,859.7728106584459,0.0,0.003163039999998,0.0,0.0,0.18181818181818102,0.180113004128266,1
mp-1076642_Na,CrO3,NaCrO3,3.939361146551721,217.92644610209217,845.2492869705397,858.4909745806798,3329.742200242291,0.0,0.40224307075000004,0.29644677833333405,0.0,0.2,0.068043956765811,1
mp-1101189_Na,VF5,Na2VF5,4.338141591551722,279.3085775932417,824.4431308117136,1211.680157334393,3576.551035643411,0.0,0.057393259583332,0.0,0.0,0.25,0.18532187103364803,1
mp-1221396_Na,Na(NbSe2)2,Na2(NbSe2)3,1.388520896551729,16.783261216284654,89.29517472194613,23.303908911097434,123.98821606265994,0.0,0.004727613928569001,0.008946799772727,0.14285714285714202,0.18181818181818102,9.039537618349416e-05,1
mp-1238805_Na,CrS2,Na(CrS2)2,1.8009576765517221,105.00420922533596,317.13176644343076,189.10813667461193,571.1408892547043,0.0,0.029461006666667,0.10673064428570901,0.0,0.14285714285714202,0.32402583479470104,1
mp-12627_Na,Nb3S4,Na(Nb3S4)2,0.9762726265517221,32.02287306651872,161.5411239223642,31.263054398382643,157.7081773478038,0.0,0.0,0.00150552441463,0.0,0.066666666666666,0.0014587259720740002,1
mp-1297798_Na,VO2,Na3V5O10,2.822687252662833,166.23794972279939,609.9985022347996,469.23774159135075,1721.8349964015895,0.0,0.163093150555557,0.026557089305564004,0.0,0.16666666666666602,0.16899196461083402,1
mp-15724_Na,KNaSb,KNa2Sb,1.3089780265517241,129.57726367648758,374.5335489799822,169.61379089322114,490.2561858212307,0.0,0.297216350000001,0.0,0.33333333333333304,0.5,0.060173438387468005,1
mp-17999_Na,VF4,NaVF4,4.179153189051728,178.7660645353225,532.0809859734362,747.09076869702,2223.647949364674,0.0,0.024513009999999003,0.0,0.0,0.16666666666666602,0.19147314460584,1
mp-18528_Na,V6O11,NaV6O11,2.784205116551735,53.11092470304411,223.08523894424403,147.87170830300937,621.1150636957307,0.0,0.048091485,0.019406203703711003,0.0,0.055555555555555004,0.009926352827844001,1
mp-18773_Na,WO3,Na(WO3)8,1.5147142115517371,14.273604538760132,96.76868199819951,21.62043164492936,146.57689785580362,0.0,0.00030034999999900005,0.027006272290519003,0.0,0.030303030303030002,0.009972190436288001,1
mp-18846_Na,CoO2,NaCoO2,3.008840576551722,235.26216710874036,1146.4373117065732,707.86635452427,3449.4471019356124,1.364667017500004,0.007578856666667,0.011452050000005001,0.0,0.25,0.09531196620538701,3
mp-18896_Na,V6O13,Na2V6O13,2.545130256551719,95.78444578136505,359.3136502077789,243.78389106518983,914.5000427358589,0.0,0.016361282368421,0.040702089444453006,0.0,0.09523809523809501,0.075981364750489,1
mp-18921_Na,CoO2,NaCoO2,3.056321886551724,235.26216710874039,1148.1636570771243,719.0369104120325,3509.1577144680837,1.534020794999998,0.008136560000000001,0.0,0.0,0.25,0.167784901100262,2
mp-18957_Na,MnO2,NaMnO2,2.745589469051722,243.81248636564382,984.2654657299418,669.4089949888283,2702.3888974594174,0.8364957700000031,0.013758580833332002,0.0,0.0,0.25,0.07564982534624301,2
mp-18999_Na,Mn7O12,NaMn7O12,3.508429366551699,44.70274542758905,215.59187924754764,156.8364248236381,756.3888803421639,0.0,0.047872553750000005,0.028777094025572002,0.0,0.05,0.030349244993923004,1
mp-190_Na,ReO3,NaReO3,1.844006056551724,104.20686384493769,757.4578672166982,192.15808806432597,1396.756894730343,0.0,0.0,0.041795214700001006,0.0,0.2,0.073889511586952,1
mp-19111_Na,V2O5,NaV2O5,3.266735261551719,130.82203996985868,398.6592181515436,427.36097095766576,1302.3141252782866,0.0,0.0,0.006109123750000001,0.0,0.125,0.11340613664322201,1
mp-19149_Na,NiO2,NaNiO2,3.298787669051722,235.758417232829,1084.358893914879,777.7169596428074,3577.0697480729677,0.8853448128749931,0.12982718611111102,0.0,0.0,0.25,0.261023972265907,2
mp-19280_Na,Cr3O8,NaCr3O8,4.718635471551725,87.30884356226281,261.94369512813955,411.97860621305375,1236.01681138097,0.0,0.049332349454545,0.0,0.0,0.08333333333333301,0.007678031581796,1
mp-19326_Na,MnO2,NaMnO2,2.387015871551721,243.81248636564382,936.7967503415632,581.9842746372794,2236.1487114833867,0.0,0.004453094166667,0.08266428437500001,0.0,0.25,0.507699056682267,1
mp-19328_Na,WO3,NaWO3,1.79113511905172,105.17480173424349,711.4945713075195,188.38228102550525,1274.3829136835466,0.967370378571446,0.000142558437499,0.05530045630435201,0.0,0.2,0.08219389083152001,5
mp-19359_Na,FeO2,NaFeO2,3.764714066551725,241.8173602047862,1017.6706248848969,910.3732174993642,3831.2389166206563,0.0,0.273916410833334,0.0,0.0,0.25,0.14647888674734902,1
mp-19391_Na,VO2,NaVO2,2.356136071551724,253.0110791726265,1007.3029655345114,596.1285301408544,2373.3428520768853,1.031590889999996,0.138130571666666,0.0,0.0,0.25,0.193824920488038,2
mp-19395_Na,MnO2,NaMn2O4,2.260954995301727,136.14248801370493,559.5788771346711,307.8120383473917,1265.182657522966,1.456466282500002,0.0,0.11005655482142801,0.0,0.14285714285714202,0.105184730638279,3
mp-19427_Na,Na2CoO3,Na7(CoO3)2,2.179217496551723,214.53131452380896,606.1528852544777,467.5103941685254,1320.9389731318672,0.0,0.18178810750000002,0.011877395333325,0.33333333333333304,0.46666666666666606,0.013960694810336,1
mp-19443_Na,WO3,Na3(WO3)4,1.964178333218393,80.70125394527919,548.3901397176231,158.5116544628728,1077.136030583963,0.0,0.005913767812499001,0.036135768771972006,0.0,0.157894736842105,0.05243064479248501,1
mp-19844_Na,FeSb3,Na(FeSb3)4,0.9655919965517121,15.696422682910313,114.20609001945044,15.156340117110954,110.27648648024574,0.0,0.0,0.0,0.0,0.058823529411764004,0.007999172191121,1
mp-20011_Na,SbO3,NaSbO3,4.701569966551723,139.0493567609528,635.617677809546,653.7502796156315,2988.400984198711,0.0,0.198004348749999,0.05513724700000001,0.0,0.2,0.019795488538149,1
mp-21021_Na,Mo3Se4,Na(Mo3Se4)2,1.675246316551725,21.784335794593108,139.3078031768999,36.494128298418005,233.37488413901428,0.0,0.06087143500000101,0.036686208333329,0.0,0.066666666666666,0.038494631112360005,1
mp-21036_Na,MnO2,NaMnO2,3.156686756551725,243.81248636564382,972.9632467448822,769.6396467923759,3071.340195611138,0.0,0.168055925833334,0.012948686875,0.0,0.25,0.329122774716114,1
mp-2156_Na,TiS2,NaTiS2,1.5374763665517222,198.54894882157072,598.3155934833117,305.2643164168524,919.8960847199594,0.0,0.0,0.006389345,0.0,0.25,0.146015961919879,1
mp-21792_Na,Na4CoO4,Na5CoO4,1.6768774440517231,112.6682425937266,314.38664954970443,188.93083466636773,527.1878813408931,0.0,0.0,0.000123252749986,0.44444444444444403,0.5,0.039441618947962005,1
mp-21996_Na,Na4NiO4,Na5NiO4,2.723290241551726,112.78193262358499,318.78222013321295,307.1379365371534,868.1365092689732,0.0,0.098722963634259,0.0,0.44444444444444403,0.5,0.046715089045179,1
mp-2207_Na,NbSe2,NaNbSe2,1.489200091551723,97.88130179990635,532.5347329264044,145.76484360162237,793.0507730284739,0.0,0.0010431641666670001,0.0,0.0,0.25,0.15221407618955302,1
mp-23208_Na,UCl3,NaU2Cl6,0.24482749655172503,37.65492677508537,207.50603394231788,9.21896145518268,50.803182809475004,0.0,0.0,0.12038592296296201,0.0,0.11111111111111101,0.029783759805266003,1
mp-23211_Na,PrCl3,NaPr2Cl6,0.045039906551725004,51.78799310850286,203.05599151253955,2.332526370108374,9.145622882492752,0.0,0.0,0.055189023148148005,0.0,0.11111111111111101,0.028638117550509,1
mp-23250_Na,UCl6,Na2UCl6,2.665663758218389,107.9124384178086,335.1981515773222,287.65827615132616,893.5255644814621,0.0,0.0,0.0,0.0,0.22222222222222202,0.013062500944383002,1
mp-246_Na,TiF3,NaTiF3,-0.060389533448276,209.62898955611294,619.03777386581,-12.659396876527234,-37.383402350615796,0.0,0.0,0.23502901877777801,0.0,0.2,0.166112579681285,1
mp-25206_Na,NiO2,Na2NiO2,2.891103571551724,392.2022420692018,1412.816339360094,1133.8973028168634,4084.598364670601,0.0,0.5811151294444451,0.054099809000000006,0.0,0.4,0.44631478752520903,1
mp-25207_Na,V2O5,Na2V6O15,3.211569766551733,90.60377285915409,297.4445541322273,290.98033764997973,955.2639372765217,0.624782026666593,0.02981807357143,0.044422464565206,0.0,0.08695652173913,0.082652397052103,3
mp-25233_Na,V2O5,NaV2O5,2.995272471551725,130.82203996985868,376.72461354081497,391.84765499395724,1128.3928642947656,0.0,0.011343075000000001,0.049967163125000005,0.0,0.125,0.0476625704965,1
mp-25262_Na,TiO2,NaTiO2,1.043654076551721,260.5739420138076,1038.759748591774,271.94905682586233,1084.1058461756465,1.448805350000007,0.178814235833332,0.042163686415229,0.0,0.25,0.14088050386865802,3
mp-25275_Na,MnO2,NaMnO2,2.681035694051722,243.81248636564382,992.797620860977,653.66997860179,2661.725858497908,0.675961565000001,0.03293045,0.030517345625,0.0,0.25,0.28175884889916003,2
mp-25283_Na,VO2,NaV2O4,2.902853686551726,141.90410728551464,535.8952957194725,411.9268609705878,1555.6256347849983,0.0,0.161385609999999,0.039820423059536,0.0,0.14285714285714202,0.12780963134213302,1
mp-25302_Na,CrO2,NaCrO2,3.453020624051724,250.5170257171999,1037.1263265348825,865.0404564775876,3581.218595271953,0.0,0.18456060166665,0.0,0.0,0.25,0.22744143222936203,1
mp-25349_Na,MoO2,NaMoO2,2.137050486551722,177.57725573905267,882.3250343204859,379.4915607776621,1885.573143891359,0.0,0.20994759833333201,0.0,0.0,0.25,0.21244388745873702,1
mp-25378_Na,CuO2,NaCuO2,3.333151786551722,226.10687589418717,1055.1092340804075,753.6485373383385,3516.8392285823297,0.0,0.164496610208333,0.12399844124999901,0.0,0.25,0.23135267252735403,1
mp-27420_Na,NaBiF6,Na3BiF6,3.667185041551722,136.76313955283598,495.4826884544176,501.5357396038108,1817.0267034478723,0.0,0.0,0.15408591800000002,0.125,0.30000000000000004,0.313614820942601,1
mp-27569_Na,Na10Mn2O9,Na14Mn2O9,1.127592531551727,186.20950370571575,479.607212255652,209.96844568251876,540.8015106178171,0.0,0.06938445190476701,0.0,0.47619047619047605,0.56,0.093901001715883,1
mp-28262_Na,Na4MnO4,Na5MnO4,1.473064681551722,114.59281025832004,315.93467703753635,168.8026215512892,465.39221442144486,0.0,0.056622421944447006,0.010346431000009001,0.44444444444444403,0.5,0.027216325151004,1
mp-28602_Na,ClO,Na3ClO,3.707624839885056,667.6906089300957,1428.4169630296385,2475.5462870272017,5296.034213841863,0.0,1.5532711159375001,0.0,0.0,0.6000000000000001,2.164100472444561,1
mp-28649_Na,Ti8O13,NaTi8O13,0.9985362165517161,43.656453282832786,181.0241121452347,43.592549689106626,180.75913204613636,0.0,0.008284844761904001,0.0049296034090720005,0.0,0.045454545454545005,0.004279669609221001,1
mp-29356_Na,TiO2,NaTi2O4,1.4116670265517222,146.6795112743142,591.4283239514258,207.06262953667095,834.8998634909781,0.59477870250003,0.073966345833333,0.0,0.0,0.14285714285714202,0.038062207566516,2
mp-29793_Na,V3O7,Na2V3O7,3.227863313218396,172.46779322370762,516.4496738667699,556.7024624585422,1667.028955398152,0.0,0.08215866000000101,0.0,0.0,0.16666666666666602,0.02420240741757,1
mp-31257_Na,Mo15S19,Na17(Mo15S19)4,1.692320103022309,53.07739567756354,244.3185580904383,89.8239437212102,413.4652073978726,0.0,0.082155104411764,0.0,0.0,0.11111111111111101,0.077575202240742,1
mp-3136_Na,NbO3,NaNbO3,4.182213449051726,163.52901282505943,683.2366310799882,683.9132367471158,2857.4414273875195,0.0,0.188615306607143,0.036025795500000006,0.0,0.2,0.024702532977816,1
mp-32578_Na,Ce2Se3,Na(Ce2Se3)4,1.3062331915517151,12.814859489981664,82.95762843869018,16.739194810885543,108.36200775903166,0.0,0.0,0.0,0.0,0.047619047619047006,0.015128099222686,1
mp-32686_Na,CoO2,NaCoO2,2.606248111551721,235.26216710874036,1029.9297811203285,613.1515787467201,2684.252547075734,0.0,0.008334681666666,0.11266703500000501,0.0,0.25,0.285067474507051,1
mp-3332_Na,Na2(CrSe2)3,NaCrSe2,1.776473426551717,38.35810182058729,175.20220392764173,68.14214857723837,311.24205955075047,0.0,0.0,0.0,0.18181818181818102,0.25,0.027266534558452002,1
mp-3744_Na,NbO2,NaNbO2,2.268371046551721,181.21971896837647,981.2687577253805,411.0735635721049,2225.8816389100284,1.7129463975000032,0.283371129166665,0.0,0.0,0.25,0.14959133700964802,2
mp-4541_Na,CuO2,NaCuO2,4.161823956551723,226.10687589418717,920.5041396460786,941.0170128374955,3830.9761804840828,0.0,0.28562952687500004,0.007680086249999001,0.0,0.25,0.18510130620221202,1
mp-504778_Na,NaMoF6,Na3MoF6,3.062632396551724,192.19438778095326,580.1327855035025,588.6207584533723,1776.7334631848194,0.0,0.0,0.06076563149999901,0.125,0.30000000000000004,0.0045451930117740005,1
mp-505090_Na,CuO,Na(CuO)2,2.471841064051726,147.1957235818452,724.3915018383163,363.844434002412,1790.580660694052,0.0,0.15278473625000003,0.0,0.0,0.2,0.08980882192238701,1
mp-510746_Na,Fe5O8,NaFe5O8,3.894237176551716,62.29860546983345,277.75098993779085,242.60554546795348,1081.6282308397867,0.0,0.16345176730769,0.08382861660714201,0.0,0.07142857142857101,0.07381057692186001,1
mp-510751_Na,CuO,Na(CuO)2,2.493116836551724,147.1957235818452,734.0017091877687,366.97613673031185,1829.9520192337684,0.0,0.179534246562499,0.01714445375,0.0,0.2,0.160281934601977,1
mp-531997_Na,WO3,Na3(WO3)4,2.076462611551727,80.70125394527919,545.2574541587533,167.57313652271353,1132.2067172305308,0.380213084999993,0.010663485937499,0.022406434824603003,0.0,0.157894736842105,0.10860123268525101,2
mp-540003_Na,FeO2,Na(FeO2)2,3.8420038315517253,134.8995169529954,550.5592025707001,518.2844610078853,2115.2505657726924,0.0,0.258179855833334,0.09286287678571101,0.0,0.14285714285714202,0.095778025025538,1
mp-542710_Na,MnO2,NaMn2O4,3.183568416551725,136.14248801370493,599.1116922674862,433.4189249912029,1907.3130614896259,0.0,0.025369589583334,0.0,0.0,0.14285714285714202,0.136504197715484,1
mp-5449_Na,Na2Ti6O13,Na3Ti6O13,0.44048034655171203,47.506584124836635,168.42723749527167,20.925716638796143,74.18888794066491,0.0,0.0,0.020273800909089,0.09523809523809501,0.13636363636363602,0.0025772227637560004,1
mp-558110_Na,TiS2,NaTiS2,1.503396686551724,198.54894882157072,595.2357153721041,298.49783177667734,894.8754022076668,0.0,0.0019210499999990003,0.016350052499999,0.0,0.25,0.159455665859389,1
mp-558418_Na,CrF6,Na3CrF6,5.127144469885056,342.21089320931486,967.8833308375773,1754.564688652564,4962.4776671978125,1.002353380000002,0.0,0.085079429499997,0.0,0.30000000000000004,0.195681074683196,2
mp-560242_Na,MnF3,NaMnF3,3.78776930655172,198.64275476957155,667.8890055260309,752.4129294850634,2529.809475314852,0.0,0.0018928274999980002,0.0,0.0,0.2,0.18908059493695,1
mp-560778_Na,V2O5,Na9V14O35,3.211356015440613,162.97450034225784,501.88298983765935,523.369142037538,1611.7249584624876,0.0,0.025970106530612002,0.003735386063231,0.0,0.155172413793103,0.061296319991463004,1
mp-561_Na,Nb3Se4,Na(Nb3Se4)2,0.8024059965517301,22.111462060898074,142.78643351817877,17.7423697501907,114.57269048122166,0.0,0.0,0.012813839533337002,0.0,0.066666666666666,0.0017519784366370002,1
mp-568488_Na,Mo15Se19,Na2Mo15Se19,1.7052399915517111,17.955519199322875,110.133244150532,30.618469407759925,187.8036123248157,0.0,0.065439831029411,0.043365360416668004,0.0,0.055555555555555004,0.005566743581220001,1
mp-570170_Na,Mo15Se19,Na3Mo15Se19,1.6214539415517342,26.727452269136176,159.83954928284348,43.337332829426686,259.1724672005192,0.0,0.063813381470589,0.038521924324316004,0.0,0.081081081081081,0.047970429970887005,1
mp-5955_Na,NaSbF6,Na3SbF6,2.037283706551722,175.90906506585125,520.8621303912654,358.37667209340555,1061.1439316059436,0.0,0.0,0.19167161900000002,0.125,0.30000000000000004,0.12507898458414402,1
mp-637292_Na,CrS2,NaCrS2,2.159152006551721,192.65581478285748,607.5659722911892,415.97318906226354,1311.8272881850687,0.27955071999999603,0.0,0.005463292499999,0.0,0.25,0.27648736328646,2
mp-642750_Na,VO2,NaV2O4,2.492623141551722,141.90410728551464,596.2127858854733,353.7134617011121,1486.1337873871526,0.0,0.05939107749999901,0.011000901630964,0.0,0.14285714285714202,0.07611131512011801,1
mp-7002_Na,TiO2,NaTiO2,1.103220296551726,260.5739420138076,1014.2892309824048,287.47046158212504,1118.9844661936306,0.0,0.152601063333333,0.007612252040229001,0.0,0.25,0.15813135100774,1
mp-7433_Na,CuSe,NaCuSe,1.617357171551722,161.94662414613654,774.8641801913951,261.9255339713453,1253.232138811099,0.0,0.044356246666666,0.0,0.0,0.33333333333333304,0.48800728419287803,1
mp-7469_Na,CuO,NaCuO,2.9905996865517253,261.3881786470279,957.7380818069473,781.7074051301281,2864.2112072505074,0.0,0.5894081550000001,0.0,0.0,0.33333333333333304,0.312845470854881,1
mp-752583_Na,VO2,NaV5O10,2.143013756551727,61.23375773396668,231.2926770790579,131.22478518924635,495.6633887700976,0.0,0.051628716999999005,0.059211158541666004,0.0,0.0625,0.091954338633161,1
mp-752584_Na,Na5Cu7O13,Na7Cu7O13,2.982477596551721,65.87213608018642,265.61530344365434,196.4621700961623,792.1916918219863,0.0,0.08704904724999801,0.043017683333333,0.2,0.259259259259259,0.0031385253174570004,1
